"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.23764853033E+003, +1.10478554564E-002, +0.00000000000E+000
+1.24015009381E+003, +1.12307099905E-002, +0.00000000000E+000
+1.24265165729E+003, +1.10461086068E-002, +0.00000000000E+000
+1.24515322076E+003, +1.12461684489E-002, +0.00000000000E+000
+1.24765478424E+003, +1.11170874497E-002, +0.00000000000E+000
+1.25015634772E+003, +1.13040658582E-002, +0.00000000000E+000
+1.25265791119E+003, +1.13429453225E-002, +0.00000000000E+000
+1.25515947467E+003, +1.12765484355E-002, +0.00000000000E+000
+1.25766103815E+003, +1.15258697799E-002, +0.00000000000E+000
+1.26016260163E+003, +1.14389105949E-002, +0.00000000000E+000
+1.26266416510E+003, +1.14391710179E-002, +0.00000000000E+000
+1.26516572858E+003, +1.15224974121E-002, +0.00000000000E+000
+1.26766729206E+003, +1.15277543106E-002, +0.00000000000E+000
+1.27016885553E+003, +1.16589583017E-002, +0.00000000000E+000
+1.27267041901E+003, +1.16569376296E-002, +0.00000000000E+000
+1.27517198249E+003, +1.16298165048E-002, +0.00000000000E+000
+1.27767354597E+003, +1.17035952269E-002, +0.00000000000E+000
+1.28017510944E+003, +1.17221878275E-002, +0.00000000000E+000
+1.28267667292E+003, +1.17836293864E-002, +0.00000000000E+000
+1.28517823640E+003, +1.19104614988E-002, +0.00000000000E+000
+1.28767979987E+003, +1.18581544611E-002, +0.00000000000E+000
+1.29018136335E+003, +1.20360845413E-002, +0.00000000000E+000
+1.29268292683E+003, +1.19298913705E-002, +0.00000000000E+000
+1.29518449031E+003, +1.19840286347E-002, +0.00000000000E+000
+1.29768605378E+003, +1.22270614015E-002, +0.00000000000E+000
+1.30018761726E+003, +1.22502754663E-002, +0.00000000000E+000
+1.30268918074E+003, +1.23136690331E-002, +0.00000000000E+000
+1.30519074422E+003, +1.22980471909E-002, +0.00000000000E+000
+1.30769230769E+003, +1.23710839892E-002, +0.00000000000E+000
+1.31019387117E+003, +1.24872114388E-002, +0.00000000000E+000
+1.31269543465E+003, +1.24837456018E-002, +0.00000000000E+000
+1.31519699812E+003, +1.25937089645E-002, +0.00000000000E+000
+1.31769856160E+003, +1.26033050204E-002, +0.00000000000E+000
+1.32020012508E+003, +1.27400109527E-002, +0.00000000000E+000
+1.32270168856E+003, +1.27597564112E-002, +0.00000000000E+000
+1.32520325203E+003, +1.27098493578E-002, +0.00000000000E+000
+1.32770481551E+003, +1.29462428167E-002, +0.00000000000E+000
+1.33020637899E+003, +1.29370222142E-002, +0.00000000000E+000
+1.33270794246E+003, +1.29632724450E-002, +0.00000000000E+000
+1.33520950594E+003, +1.30666937833E-002, +0.00000000000E+000
+1.33771106942E+003, +1.31754646651E-002, +0.00000000000E+000
+1.34021263290E+003, +1.32952900261E-002, +0.00000000000E+000
+1.34271419637E+003, +1.32792977060E-002, +0.00000000000E+000
+1.34521575985E+003, +1.32792020968E-002, +0.00000000000E+000
+1.34771732333E+003, +1.34279688895E-002, +0.00000000000E+000
+1.35021888680E+003, +1.35590279944E-002, +0.00000000000E+000
+1.35272045028E+003, +1.34455824366E-002, +0.00000000000E+000
+1.35522201376E+003, +1.35459245984E-002, +0.00000000000E+000
+1.35772357724E+003, +1.37408826588E-002, +0.00000000000E+000
+1.36022514071E+003, +1.37862944674E-002, +0.00000000000E+000
+1.36272670419E+003, +1.38477409209E-002, +0.00000000000E+000
+1.36522826767E+003, +1.37347886381E-002, +0.00000000000E+000
+1.36772983114E+003, +1.40001528330E-002, +0.00000000000E+000
+1.37023139462E+003, +1.39090099021E-002, +0.00000000000E+000
+1.37273295810E+003, +1.40262710455E-002, +0.00000000000E+000
+1.37523452158E+003, +1.41155228776E-002, +0.00000000000E+000
+1.37773608505E+003, +1.41703615751E-002, +0.00000000000E+000
+1.38023764853E+003, +1.41159897525E-002, +0.00000000000E+000
+1.38273921201E+003, +1.42761582523E-002, +0.00000000000E+000
+1.38524077548E+003, +1.43577356752E-002, +0.00000000000E+000
+1.38774233896E+003, +1.42662509038E-002, +0.00000000000E+000
+1.39024390244E+003, +1.44173593505E-002, +0.00000000000E+000
+1.39274546592E+003, +1.44311811253E-002, +0.00000000000E+000
